dir,x_pos,y_pos,prediction
104,96,9
148,72,2
132,148,9
24,36,2
112,120,9
176,48,2
92,16,9
100,88,9
72,12,9
116,152,9
152,84,2
172,80,2
160,80,2
72,156,9
104,100,9
108,56,9
72,160,9
52,100,9
108,36,9
12,92,2
72,4,9
168,84,2
120,40,9
80,180,2
180,48,2
128,180,9
4,120,2
140,40,9
100,104,9
64,68,9
32,72,2
4,172,9
104,44,9
52,108,9
156,120,9
92,32,9
72,68,9
0,24,2
68,12,9
88,64,9
48,168,9
152,140,2
148,164,2
120,168,9
172,16,9
76,40,9
164,64,2
116,20,9
96,20,9
160,160,9
140,44,9
20,24,2
20,76,2
28,12,9
120,72,9
96,80,9
104,88,9
64,128,9
120,116,2
24,180,9
8,176,9
116,92,9
124,52,9
96,164,9
124,112,2
100,44,9
144,92,9
124,32,9
148,16,9
52,172,9
64,84,9
32,24,2
84,8,9
80,4,9
180,0,9
120,104,9
100,116,2
20,180,9
140,60,9
100,80,9
36,140,2
96,84,9
36,4,9
172,136,9
136,136,9
32,68,2
96,116,9
36,132,2
48,172,9
180,180,2
4,164,2
84,0,9
124,104,9
32,124,2
92,20,9
60,56,2
164,104,2
160,60,2
164,36,9
156,168,2
156,96,2
156,4,9
84,136,9
140,160,9
112,16,9
48,72,2
80,0,9
20,52,2
180,76,2
120,28,9
180,24,9
80,16,9
100,84,9
172,36,9
120,88,9
60,4,9
64,24,9
48,80,9
52,52,2
60,168,9
180,64,2
4,112,2
44,172,9
68,164,9
100,36,9
152,52,9
100,100,9
160,152,9
72,108,9
96,112,9
152,172,2
160,84,2
72,140,9
64,172,2
40,96,2
120,0,9
52,4,9
56,40,9
160,156,2
156,108,2
116,100,9
76,108,9
20,20,2
48,24,9
148,84,2
28,176,9
72,8,9
80,40,9
52,132,9
60,92,9
144,16,9
72,60,9
144,124,2
104,72,9
176,32,9
92,56,9
156,132,9
32,96,2
48,96,9
152,124,2
8,84,2
40,116,2
68,60,9
92,68,9
136,172,2
84,4,9
84,168,9
140,116,9
40,8,9
48,60,2
0,132,2
0,12,2
104,164,9
156,48,2
20,64,2
168,128,9
44,0,9
84,12,9
0,88,2
108,72,9
64,124,9
24,84,2
36,112,2
88,24,9
64,8,9
144,0,9
96,108,9
172,116,2
100,156,9
160,8,9
12,16,2
124,4,9
60,176,2
0,172,2
120,120,9
156,40,2
68,152,9
124,148,9
132,48,9
76,80,9
88,0,9
136,56,9
44,112,9
40,84,2
40,152,9
120,84,9
20,48,2
156,84,2
148,76,2
16,120,2
4,160,9
172,8,9
80,48,9
164,160,2
32,56,2
132,8,9
80,24,9
96,92,9
68,156,9
52,164,9
48,112,9
0,128,2
108,152,9
172,108,2
60,132,9
176,60,2
16,112,2
